2015-10-08 16:25:20 INFO  Path:147 - Loď SmallTransportShip{id: 1128, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:20 INFO  Path:147 - Loď SmallTransportShip{id: 1755, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:20 INFO  Path:147 - Loď SmallTransportShip{id: 184, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:20 INFO  Headquarters:62 - Spouštím dijkstův algoritmus pro přepočítání tras...
2015-10-08 16:25:20 INFO  Headquarters:88 - Dijkstra přepočítal trasy za: 50ms.
2015-10-08 16:25:20 INFO  Path:147 - Loď SmallTransportShip{id: 2403, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:20 INFO  Path:147 - Loď SmallTransportShip{id: 632, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:20 INFO  Path:147 - Loď SmallTransportShip{id: 599, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:20 INFO  Path:147 - Loď SmallTransportShip{id: 1163, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:20 INFO  Path:147 - Loď SmallTransportShip{id: 118, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:20 INFO  Path:147 - Loď SmallTransportShip{id: 265, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:20 INFO  Path:147 - Loď SmallTransportShip{id: 2467, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:20 INFO  Path:147 - Loď SmallTransportShip{id: 671, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:20 INFO  Path:147 - Loď SmallTransportShip{id: 644, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:20 INFO  Path:147 - Loď SmallTransportShip{id: 1850, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:20 INFO  Path:147 - Loď SmallTransportShip{id: 894, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:20 INFO  Path:147 - Loď SmallTransportShip{id: 718, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:20 INFO  Path:147 - Loď SmallTransportShip{id: 77, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:20 INFO  Path:147 - Loď SmallTransportShip{id: 2552, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:20 INFO  Path:147 - Loď SmallTransportShip{id: 243, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:20 INFO  Path:147 - Loď SmallTransportShip{id: 746, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:20 INFO  Path:147 - Loď SmallTransportShip{id: 767, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:20 INFO  Path:147 - Loď SmallTransportShip{id: 590, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:20 INFO  Path:147 - Loď SmallTransportShip{id: 357, capacity:50000, cargo:50000} byla přepadena piráty
